,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,100,ZA,1605997515,72,-34.53,20.04,62.6,9.17
1,Zhigansk,100,RU,1605997515,91,66.77,123.37,-4.32,20.2
2,Port Elizabeth,0,ZA,1605997486,77,-33.92,25.57,66.2,25.28
3,Pevek,99,RU,1605997516,97,69.7,170.31,9.37,2.28
4,Jiangyou,100,CN,1605997517,65,31.77,104.72,46.18,1.23
5,Hithadhoo,100,MV,1605997517,77,-0.6,73.08,81.9,10.58
6,East London,98,ZA,1605997517,57,-33.02,27.91,72.72,14.99
7,Albany,95,US,1605997371,50,42.6,-73.97,46.0,4.0
8,Cherskiy,100,RU,1605997518,95,68.75,161.3,5.56,2.66
9,Katsuura,40,JP,1605997518,62,35.13,140.3,53.6,5.82
10,Ushuaia,75,AR,1605997518,71,-54.8,-68.3,51.8,21.92
11,Fort Nelson,40,CA,1605997519,70,58.81,-122.7,-2.2,3.44
12,Béboto,59,TD,1605997519,36,8.27,16.94,75.96,3.42
13,Zafra,0,ES,1605997519,84,38.42,-6.42,54.0,7.0
14,Nikolskoye,90,RU,1605997519,86,59.7,30.79,34.0,11.18
15,Iqaluit,75,CA,1605997243,70,63.75,-68.51,-2.2,6.93
16,Alofi,75,NU,1605997232,88,-19.06,-169.92,78.8,9.17
17,Henties Bay,6,NA,1605997520,90,-22.12,14.28,60.01,7.76
18,Qaanaaq,44,GL,1605997520,90,77.48,-69.36,3.16,3.51
19,Siverek,0,TR,1605997521,65,37.76,39.32,46.4,10.29
20,Verkhnevilyuysk,85,RU,1605997521,94,63.45,120.32,6.46,5.99
21,Assiut,0,EG,1605997521,66,27.18,31.18,55.4,4.7
22,Kaitangata,99,NZ,1605997521,68,-46.28,169.85,51.01,15.01
23,Yellowknife,20,CA,1605997522,76,62.46,-114.35,-6.0,9.17
24,Sonoita,100,MX,1605997522,19,31.85,-112.83,82.0,6.2
25,Thompson,90,CA,1605997522,85,55.74,-97.86,12.2,6.93
26,Carnarvon,43,AU,1605997522,52,-24.87,113.63,68.0,23.04
27,Puerto Ayora,40,EC,1605997522,65,-0.74,-90.35,77.0,12.75
28,‘Āhuimanu,40,US,1605997523,65,21.44,-157.84,82.4,17.22
